,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
580,,,,,,(,,,,,,
582,,,,,,,,(,,,,
587,,(,,,,,(,,,,,
588,,,(,,,,,,,,,
592,,,,(,,,,,,,(,
594,(,,,,,,,,(,,,
595,,,,,,,,,,(,,
596,,,,,,,,,,,,(
600,,,,,,,,p,,,,
602,,,,,,,p,,,,,
605,,,,,(,,,,,,,
613,,,,,,,,,,,p,
614,,,,,,,,,,p,,
615,,p,,,,p,,,,,,
616,,,p,p,,,,,,,,
618,,,,,,,),,,,,
619,,,,,,,,,,,,p
620,,,,,,,,,p,,,
621,p,,,,,,,,,,,
626,,,,,,,,),,,,
628,,,,,p,,,,,,,
632,,,),,,,,,,,,
636,,,,,,,,,,),,
638,,,,),,,,,),,,
639,),,,,,,,,,,,
640,,),,,,,,,,,,
641,,,,,,),,,,,,)
642,,,,,),,,,,,,
643,,,,,,,,,,,),
662,,,,,,,,(,,,,
663,,,(,(,,(,,,,,,
664,(,(,,,,,(,,,,,
665,,,,,,,,,(,(,,(
666,,,,,,,,,,,(,
667,,,,,(,,,,,,,
670,,,,N,,,,,,,,
673,,,,,,,N,,,,,
680,,,,,,,,N,,,,
682,,,,,N,,,,N,,,
685,N,N,,,,,,,,N,N,N
686,,,,,,N,,,,,,
687,,,N,,,,,,,,,
701,,,,),,,,,,,,
704,,,),,,,,,,,,
711,,,,,,,,,,),,)
712,,,,,,),,,,,),
713,),,,,,,,,,,,
714,,),,,),,),),),,,
750,,,,,,,(,,,,,
754,,,,,,,,,,(,,
759,,(,,,,(,,,,,,(
760,,,,,,,,(,,,,
762,,,,,,,,,(,,,
763,,,,,,,,,,,(,
766,,,,,(,,,,,,,
769,(,,,,,,,,,,,
771,,,,(,,,,,,,,
772,,,(,,,,,,,,,
812,,,,,,,,t,,,,
820,,,,,t,,t,,,,,
821,t,,,,,,,,,,t,t
822,,,,t,,,,,t,t,,
823,,t,,,,t,,,,,,
826,,,t,,,,,,,,,
853,,,,,),,,,,,,
855,,,,,,,),,,,,
860,),,,,,,,,,,,
862,,,,),,,,,,,,
864,,,,,,,,,,,),
865,,,,,,),,,,),,
867,,),,,,,,,,,,
869,,,),,,,,,,,,
870,,,,,,,,,),,,
871,,,,,,,,,,,,)
874,,,,,,,,),,,,
1036,,,,,,,,(,,,,
1038,,,,,,,(,,,(,,
1041,,(,(,(,,(,,,,,,(
1047,(,,,,,,,,(,,,
1049,,,,,,,,,,,(,
1058,,,p,,,,,p,,,,
1059,,,,,,,p,,,,,
1063,,,,,(,,,,,,,
1071,,,,,,,),,,,,
1072,,,,,,p,,,,,,
1074,,p,,,,,,,,,,
1075,,,,p,,,,,p,p,,
1076,,,,,,,,,,,p,
1077,,,,,,,,,,,,p
1078,p,,,,,,,,,,,
1080,,,,,,,,),,,,
1083,,,,,p,,,,,,,
1088,,,),,,,,,,,,
1096,,,,,,,,,,,),
1097,,,,,),,,,,,,
1098,),,,,,,,,),),,
1101,,,,,,,,,,,,)
1104,,),,),,),,,,,,
1118,,,,,,,,(,,,,
1120,,,(,,,,(,,,,(,
1121,,,,,,(,,,(,,,
1122,,(,,(,,,,,,(,,
1123,(,,,,,,,,,,,(
1124,,,,,(,,,,,,,
1128,,,,N,,,,,,,,
1130,,,,,,,N,,,,,
1136,,,,,,,,N,,,,
1138,,,,,N,,,,,,,
1140,N,,,,,,,,N,,,
1142,,N,,,,,,,,N,N,N
1143,,,,,,N,,,,,,
1144,,,N,,,,,,,,,
1157,,,,),,,,,,,,
1164,,,),,,,,,,,,
1167,,,,,,,,,,,),
1168,,),,,,,,,,),,)
1169,,,,,,),,,,,,
1171,,,,,),,),,,,,
1173,),,,,,,,,,,,
1174,,,,,,,,,),,,
1176,,,,,,,,),,,,
1215,(,,,,,,,,(,,,
1216,,,,,,,,,,,(,
1218,,,,,,,,(,,,,
1219,,,,,,,(,,,,,
1221,,,,,,,,,,(,,
1223,,,,(,,,,,,,,
1225,,(,,,,,,,,,,
1226,,,,,,(,,,,,,
1228,,,,,,,,,,,,(
1229,,,(,,,,,,,,,
1234,,,,,(,,,,,,,
1272,,,,,,,,t,,,,
1277,t,,,,,,t,,,,,
1278,,,,,t,,,,,,,t
1279,,t,,t,,t,,,t,t,t,
1280,,,t,,,,,,,,,
1312,,,,,,,),,,,,
1316,,,,,),,,,,,,
1317,),,,,,,,,,,,
1318,,,,),,,,,,,,)
1319,,),,,,,,,,,,
1320,,,,,,),,,,,,
1324,,,,,,,,,,,),
1326,,,),,,,,),,,,
1327,,,,,,,,,,),,
1342,,,,,,,,,),,,
