,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
537,,(,,,,,,,,,,
538,,,,(,,,,,,,,
539,,,,,,,,,,,(,(
540,,,,,,,(,,,(,,
541,,,,,,,,(,(,,,
542,(,,,,(,,,,,,,
544,,,,N,,,N,,,,,
545,,,(,,,,,,,,,
547,,,,,,(,,,,,,
551,,,,,,,,N,N,,,
552,,,,,,,,,,N,,
560,,,,,N,,,,,,,
561,N,,,,,,,,,,,
565,,,,,,,,,,,N,N
566,,,N,,,N,,,,,,
567,,N,,,,,,,,,,
573,,,,),,,,,,,,
580,,,,,,),,,,,,
581,,),),,,,,,,),),)
582,,,,,,,,,),,,
583,),,,,,,,,,,,
584,,,,,),,,,,,,
585,,,,,,,),),,,,
612,,,,(,,,,,,,,
634,,,,,,,(,,,,,
636,,,,,,,,(,,,,
637,,,,,,,,,(,,,
639,,(,,,,,,,,,,
640,,,,,,(,,,,,,
642,,,(,,(,,,,,,,
646,(,,,,,,,,,,,
671,,,,,,,,,,(,,
674,,,,t,,,,,,,,
676,,,,,,,t,,,,(,
678,,,,,,,,,,,,(
689,t,,,,t,,,,,,,
691,,,t,,,,,,,,,
692,,,,,,t,,,,,,
698,,,,,,,,t,,,,
699,,,,,,,,,t,,,
700,,t,,,,,,,,,,
701,,,,,,,,,,t,,
704,,,,,,,,,,,t,
705,,,,),,,,,,,,
706,,,,,,,,,,,,t
708,,,,,,,),,,,,
720,,,),,,,,,,,,
721,,,,,),,,,,,,
722,,),,,,),,,,,,
723,),,,,,,,,,),,
724,,,,,,,,),),,,
751,,,,,,,,,,,),
752,,,,,,,,,,,,)
874,,,,,,,(,,,,,
877,,,,,(,,,,,,,
879,,(,(,(,,(,,,,,,
880,,,,,,,,,(,,,(
881,,,,,,,,,,(,(,
883,(,,,,,,,(,,,,
886,,,,N,,,,,,,,
887,,,,,,,N,,,,,
892,,,,,,,,N,N,,,
893,,,,,,,,,,N,,
902,,,,,N,,,,,,,
904,N,,,,,,,,,,,
907,,,,,,,,,,,,N
908,,N,N,,,,,,,,N,
909,,,,,,N,,,,,,
918,,,,),,,,,,,,
921,,),,,,,,,,,,
922,,,),,,,,,,,,
923,),,,,,),,,,,,
924,,,,,,,,),),),,)
925,,,,,,,),,,,),
927,,,,,),,,,,,,
958,(,,,,,,,,,,,
965,,,,,,,(,,,,,
968,,,,,,,,(,,,,
970,,,,,,,,,(,(,,
976,,,,,(,(,,,,,,
988,,,,(,,,,,,,,
991,,,(,,,,,,,,,
995,,,,,,,,,,,,(
996,,(,,,,,,,,,,
1000,,,,,,,,,,,(,
1001,t,,,,,,,,,,,
1012,,,,,,,t,,,,,
1020,,,,,,,,t,,,,
1025,,,,,,,,,t,,,
1029,,,,,,t,,,,,,
1031,,,,,t,,,,,,,
1033,,,t,,,,,,,,,
1034,,,,,,,,,,t,,
1037,,,,,,,,,,,t,
1041,,t,,,,,),,,,,
1044,,,,t,,,,,,,,
1045,),,,,,,,,,,,
1052,,,,,,,,),,,,
1059,,,,,,,,,),,,t
1073,,),),,,,,,,,,
1075,,,,,,),,,,),,
1092,,,,,),,,,,,,
1093,,,,,,,,,,,,)
1094,,,,,,,,,,,),
1096,,,,),,,,,,,,
1418,(,,,,,,,,,(,,
1420,,,,,(,,,,,,,
1422,,,,,,(,,,,,,
1426,,,,,,,,,(,,,
1427,,,,,,,,,,,(,
1428,,,,,,,,(,,,,(
1430,,(,(,(,,,(,,,,,
1434,,,,N,,,,,,,,
1436,,,,,,,N,,,,,
1439,,,,,,,,,N,,,
1440,,,,,,,,N,,,,
1442,,,,,,,,,,N,,
1448,,,,,N,,,,,,,
1452,N,,,,,,,,,,,
1455,,,,,,,,,,,N,N
1456,,N,N,,,N,,,,,,
1464,,,,),,,,,,,,
