,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
412,,,,,,,(,,,,,
414,,,,,(,,,,,,,
415,(,,,,,,,,,,,
416,,,,,,,,(,,,,
422,,,,,,,,,(,(,,(
429,,(,,,,(,,,,,,
431,,,,(,,,,,,,(,
439,,,(,,,,,,,,,
444,,,,,,,,N,,,,
445,,,,,N,,,,,,,
446,N,,,,,,,,N,,,
449,,,,,,,,,,N,N,N
452,,N,,,,,,,,,,
454,,,N,,,N,,,,,,
462,,,,N,,,N,,,,,
473,),,,,),,,,,,,
474,,,,,,),,,,,,
475,,),),,,,,,,,,
478,,,,),,,,),,,,)
479,,,,,,,),,),,),
480,,,,,,,,,,),,
522,,,,,,,,,,,(,
526,,,,,,(,,,,,,
527,,,(,(,,,(,,(,(,,
529,,(,,,,,,,,,,
532,,,,,(,,,(,,,,(
558,(,,,,,,,,,,,
568,,,,,,,t,,,,,
575,,t,,,,,,,,,,
576,,,t,,t,t,,,,,,
578,,,,,,,,,,,,t
579,,,,t,,,,,,,,
581,,,,,,,,,,t,t,
587,,,,,,,,,t,,,
589,,,,,,,,t,,,,
594,,,,,,,),,,,,
596,t,,,,,,,,,,,
599,,,,,),,,,,,,
613,,,),,,,,,,,,
615,,,,,,),,,,,,
618,,),,,,,,,,,,
619,,,,,,,,,,,,)
627,,,,),,,,,,,,
628,,,,,,,,,,,),
631,),,,,,,,,,,,
632,,,,,,,,,),,,
647,,,,,,,,,,),,
651,,,,,,,,),,,,
720,,,,,,,,,,,,(
729,,,,,(,,(,,,(,,
730,(,,,,,,,,,,,
732,,(,,,,(,,,,,,
734,,,,,,,,,(,,,
735,,,,,,,,(,,,,
736,,,,(,,,,,,,,
737,,,(,,,,,,,,,
739,,,,,,,,,,,(,
756,,,,,,,,,p,p,,
757,,,,,,,p,,,,,
758,,,,,,,,p,,,,
759,,,p,,,p,,,,,p,
761,p,,,,,,,,,,,
762,,p,,,,,,,,,,p
765,,,,p,,,,,,,,
768,,,,,p,,,,,,,
779,,,,,,,,,,,),
780,,),),,,,,),,,,
782,),,,,,),,,),,,)
783,,,,),,,),,,),,
798,,,,,),,,,,,,
806,(,,,,,,,,,,,
808,,,,,,,(,,,,,
811,,,,,(,,,,,,,
812,,,,,,,,(,,,,
814,,,,,,,,,,(,,
815,,,,,,,,,(,,,
819,,,,,,,,,,,,(
820,,,(,,,,,,,,,
821,,,,,,(,,,,,,
822,,,,,,,,,,,(,
824,,(,,,,,,,,,,
828,,,,(,,,,,,,,
838,,,,,,,,N,,,,
839,,,,,N,,,,N,,,
840,N,,,,,,,,,,,
842,,,,,,,,,,,N,
843,,,,,,,,,,N,,N
845,,N,,,,,,,,,,
847,,,,,,N,,,,,,
848,,,N,,,,,,,,,
856,,,,N,,,N,,,,,
865,),,,,),,,,,,,
868,,,,,,,,,),),,)
869,,,,,,,,),,,),
872,,,),,,),,,,,,
873,,),,,,,,,,,,
874,,,,),,,,,,,,
881,,,,,,,),,,,,
892,,,,,,,,,,,(,
908,,,,,,,,,(,,,
910,,,,,,,,,,(,,
917,,,,,,,,,,,,(
918,,(,,,,,,(,,,,
928,,,,(,,,,,,,,
930,,,(,,,,,,,,,
932,,,,,,(,,,,,,
933,,,,,(,,,,,,,
943,,,,,,,(,,,,,
966,(,,,,t,,t,,,,,
968,,,t,,,,,,,,,
969,,,,,,t,,,,,,
970,,t,,,,,,,,,,t
974,,,,t,,,,,,,,
975,,,,,,,,,,t,,
977,,,,,,,,,,,t,
979,,,,,,,,,t,,,
981,,,,,,,,t,,,,
985,,,,,,,),,,,,
986,,,,,,,,,,,,)
989,t,,,,,,,,,,,
997,,,,,),,,,,,,
1000,,,,),,,,,,,,
1004,,,,,,),,,,,,
1005,,,),,,,,,,,,
1006,,),,,,,,,,,,
1022,,,,,,,,,,),,
1032,,,,,,,,),),,,
1035,),,,,,,,,,,,
1054,,,,,,,,,,,),
1125,,,,,,,,,(,,,
1127,,,,,,,(,,,(,,
1128,,,,,,,,,,,(,
1130,,(,,,,,,,,,,
1131,,,,,,(,,,,,,
1132,,,(,,,,,,,,,(
1135,,,,,,,,(,,,,
1137,,,,(,,,,,,,,
1138,(,,,,(,,,,,,,
1153,,,,,,,,p,,,,
1154,,,p,,,,,,,,,
1155,,p,,,,,,,p,,,
1156,,,,p,,p,p,,,p,,p
1157,,,,,,,,,,,p,
1158,p,,,,,,,,,,,
1168,,,,,p,,,,,,,
1171,,,,,,,),,,,,
1176,),,,,,,,),,,,
1178,,,,),,,,,,,,
1179,,,,,,),,,,,,
1180,,,,,,,,,),,),
1181,,,,,,,,,,),,)
1183,,),,,,,,,,,,
1185,,,),,,,,,,,,
1195,,,,,),,,,,,,
1201,(,,,,,,,,,,,
1205,,,,,,,(,,,,,
1207,,,,,(,,,,,,,
1211,,,,,,,,(,,,,
1212,,,,,,,,,,(,,(
1213,,,(,,,,,,(,,(,
1218,,(,,,,,,,,,,
1220,,,,,,(,,,,,,
1222,,,,(,,,,,,,,
1235,,,,,,,,N,,,,
1236,,,,,N,,,,N,,,
1237,N,,,,,,,,,,,
1240,,,,,,,,,,N,,
1241,,,,,,,,,,,N,N
1242,,N,,,,,,,,,,
1244,,,N,,,N,,,,,,
1253,,,,,,,N,,,,,
1255,,,,N,,,,,,,,
1265,,,,,,,,),,,,
1266,),,,,,,,,,,,)
1267,,,,,),,,,),),,
1268,,,,,,),,,,,),
1270,,,),,,,,,,,,
1277,,),,,,,,,,,,
1278,,,,,,,),,,,,
1282,,,,),,,,,,,,
1317,,,,,,,,(,,,,
1320,,,,,,,,,(,,,
1322,,,,,,(,,,,(,(,(
1323,,,(,,,,,,,,,
1324,,,,,,,(,,,,,
1326,,,,,(,,,,,,,
1327,,(,,,,,,,,,,
1332,,,,(,,,,,,,,
1357,(,,,,,,,,,,,
1359,,,,,,,t,,,,,
1362,,,,,t,,,,,,,
1363,,,,,,,,t,,,,
1364,,,t,,,,,,,,,
