,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
636,,,,,,,,,,(,,
637,,,,,,(,,,,,,
638,,(,,(,,,,,,,,
642,(,,,,,,,,,,,
643,,,,,,,,,(,,,
645,,,,,,,(,(,,,,
646,,,,,,,,,,,(,
648,,,,,(,,,,,,,
663,,,,,,,p,p,,,,(
664,,,,p,,,,,p,p,,
665,,p,(,,,,,,,,,
666,,,,,,p,,,,,,
668,,,,,,,,,,,p,
677,,,,,,,,,),,,
678,,,,,,),,,,,,
680,p,,p,,,,,,,,,
682,,,,,p,,,),,,,p
683,,,,,,,),,,,,
685,,,,,,,,,,),,
690,,,,,,,,,,,),
691,,,,),,,,,,,,
692,,),,,,,,,,,,
696,),,,,),,,,,,,
698,,,),,,,,,,,,
700,,,,,,,,,,,,)
716,,,,,,,,(,,,,
719,,,,,,,,,,(,,
720,,,,,,,(,,,,,
721,,,,,(,,,,(,,(,(
722,(,,,,,,,,,,,
723,,(,,,,,,,,,,
725,,,,,,(,,,,,,
727,,,,(,,,,,,,,
730,,,,,,,N,,,,,
731,,,(,,,,,N,,,,
738,,,,,N,,,,,,,
741,,N,,,,,,,,,,
742,,,,,,N,,,,,,
743,N,,,,,,,,,,,
744,,,,,,,,,,,N,N
745,,,,,,,,,N,N,,
746,,,N,,,,,,,,,
753,,,,N,,,,,,,,
763,,,,,,,),,),),,
764,,,),,,,,,,,),
765,,,,,,),,),,,,)
766,),,,,),,,,,,,
767,,),,,,,,,,,,
769,,,,),,,,,,,,
795,,(,,,,(,,,,,,
799,(,,,,,,,,,,,(
800,,,,,,,,,(,,,
803,,,,,,,,,,,(,
805,,,,,,,,(,,,,
806,,,,(,,,,,,(,,
808,,,,,,,(,,,,,
813,,,,,(,,,,,,,
825,,,(,,,,,,,,,
851,,,,,,,,t,,,,
855,t,,,,t,,,,t,,,
856,,,,t,,,,,,,,
857,,,,,,,,,,,,t
859,,t,,,,,t,,,,,
860,,,,,,t,,,,t,,
861,,,,,,,,,,,t,
865,,,t,,,,,,,,,
886,,,,,),,,,,,,
890,,,,,,,),,,,,
892,,,,,,,,,,),,
893,,,,),,,,,,,,
894,,,,,,,,,,,),)
895,),,,,,,,,,,,
896,,,,,,),,,,,,
898,,),,,,,,,,,,
899,,,,,,,,),,,,
900,,,,,,,,,),,,
904,,,),,,,,,,,,
1079,,,,,,,,,,,(,
1083,,,,,,(,,,,,,
1085,,,,(,,,,,(,,,
1088,,,,,,,,,,(,,
1090,,,,,,,,(,,,,
1091,,,,,(,,,,,,,
1096,,,,,,,(,,,,,
1097,(,,,,,,,,,,,
1102,,(,,,,,,,,,,
