,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
309,,,,(,,,,,,,,
311,,,,,,,,,(,(,(,(
312,,,,,,(,,,,,,
313,,(,,,,,,(,,,,
315,(,,,,,,,,,,,
316,,,(,,,,(,,,,,
317,,,,N,,,,,,,,
319,,,,,(,,,,,,,
322,,,,,,,N,,N,N,,
323,,,,,,,,N,,,,
328,,,N,,,,,,,,,
330,,,,,,N,,,,,,
340,N,,,,N,,,,,,,
341,,,,,,,,,,,N,
342,,,,,,,,,,,,N
346,,N,,,,,,,,,,
358,,,,),,,,,,,,
361,,,,,),,,,,,,
362,,,,,,),,,,,,
363,),,,,,,,,,,),
366,,,,,,,),),),,,
367,,,,,,,,,,),,
368,,,),,,,,,,,,
369,,),,,,,,,,,,
374,,,,,,,,,,,,)
395,,,,,,,(,,,,,
400,,,,,,,,,,(,,
406,,,,,,,,,(,,,
407,,,,,,,,(,,,,
414,,,(,,,,,,,,,
417,,,,,(,,,,,,,
423,(,,,,,,,,,,(,
424,,,,(,,,,,,,,
426,,,,,,,,,,,,(
427,,,,,,,t,,,,,
429,,,,,,(,,,,,,
435,,(,,,,,,,,,,
450,,,,,,,,,,,t,
452,,,,,,,,,,t,,
453,,,,,,,,,t,,,
455,,,,,,,,t,,,,
456,,,,t,,,,,,,,
462,t,,,,,,,,,,,
463,,t,t,,t,t,,,,,,
481,,,,,,,,,,,),
485,,,,,,,),,,,,
487,,),,,,,,,,,,
489,,,,,,),,,,,,
490,,,,,,,,),,,,
494,,,,,,,,,,),,
499,,,),,),,,,),,,
500,,,,),,,,,,,,
503,,,,,,,,,,,,t
517,),,,,,,,,,,,
529,,,,,,,(,,,(,,
530,,,(,,,,,,,,,)
532,,,,,,,,,(,,,
534,,(,,,,,,,,,,
535,,,,,,(,,,,,,
536,,,,(,,,,,,,(,
555,,,,,,,,,p,,,
556,,,p,,,,,(,,,,
557,,p,,,(,p,,,,,,
558,,,,,,,,,,p,p,
559,,,,p,,,,,,,,
572,,,,,,,,,,,,(
573,,,,,,,p,,),,,
574,,,,,,,,,,),),
576,,,,,,,,p,,,,
578,,,,),,,,,,,,
580,(,,,,,,,,,,,
581,,),,,,,,,,,,
585,,,,,,),,,,,,
588,,,),,,,,,,,,
593,p,,,,,,,,,,,
594,,,,,p,,,,,,,p
599,,,,,,,,),,,,
600,,,,,,,),,,,,
607,),,,,,,,,,,,
609,,,,,,,,,,,,)
613,,,,,),,,,,,,
619,,,,,,,,,,(,,
620,,,,(,,,,,(,,,
621,,,,,,,,,,,(,
622,,(,,,,,,(,,,,
623,(,,,,,,,,,,,
624,,,(,,,,(,,,,,(
625,,,,,,(,,,,,,
629,,,,,(,,,,,,,
630,,,,N,,,,,,,,
632,,,,,,,N,,N,N,,
633,,,,,,,,N,,,,
638,,,N,,,,,,,,,
640,,,,,,N,,,,,,
642,,N,,,,,,,,,,
649,N,,,,N,,,,,,,
650,,,,,,,,,,,N,
652,,,,,,,,,,,,N
669,,,,),,,,,,,,
670,),,,,,,,,,,,
672,,,,,,,),,,,,
674,,,,,),,,,,,),
676,,,,,,,,,,),,
677,,,),,,),,),,,,
678,,,,,,,,,),,,
679,,),,,,,,,,,,
685,,,,,,,,,,,,)
708,,,,,,,,(,,,,
712,,,,,,,(,,,,(,
715,,,,,,,,,(,(,,
723,,,,,,(,,,,,,
724,,,(,,,,,,,,,
727,,,,,(,,,,,,,
730,,(,,,,,,,,,,
732,(,,,,,,,,,,,
761,,,,,,,,,,t,t,
762,,t,,,,,,,,,,
763,,,,,,,t,,t,,,
765,,,,,,,,t,,,,
766,,,,,,,,,,,,(
772,,,,,,t,,,,,,
773,,,t,,t,,,,,,,
775,,,,(,,,,,,,,
776,t,,,,,,,,,,,
797,,,,,,,,,,),,
804,,,,,,,,,,,),t
807,,,,,,),,),),,,
809,,),,,,,,,,,,
810,,,,t,,,,,,,,
811,),,,,,,,,,,,
813,,,),,,,,,,,,
814,,,,,),,,,,,,
831,,,,,,,,,,(,,
832,,,,),,,,,,,,
833,,,,,,,,,(,,,
835,,,,,,,),,,,,
837,,,,,,,,,,,,)
839,,(,,,,,,,,,,
841,,,(,,,(,,,,,,
850,(,,,,,,,,,,,
851,,,,,,,,,,,(,
854,,,,(,,,(,,,,,
864,,,,,,,,,p,p,,
865,p,,p,,,,,,,,p,
866,,p,,p,,p,,(,,,,
874,,,,,(,,,,,,,
879,,,,,,,,,,,),
880,,,,,,,p,,,,,
882,,,,,,,,p,,,,
884,,,,,,,,,,),,(
887,,,,,,,,,),,,
888,,,),),,,,,,,,
891,,,,,,),,,,,,
894,,,,,p,,,,,,,
901,,,,,,,,,,,,p
902,,,,,,,,),,,,
904,,,,,,,),,,,,
908,),,,,,,,,,,,
909,,),,,,,,,,,,
917,,,,,,,,,,,,)
922,,,,(,),,,,,,,
926,,,,,,,,,(,(,,
928,,(,,,,,,(,,,,
930,,,,,,(,,,,,(,
932,,,(,,,,(,,,,,
936,,,,N,,,,,,,,
937,,,,,,,,,,,,(
938,,,,,,,,N,N,,,
939,(,,,,(,,N,,,N,,
945,,,N,,,,,,,,,
947,,,,,,N,,,,,,
949,,N,,,,,,,,,,
956,N,,,,N,,,,,,,
957,,,,,,,,,,,N,
958,,,,,,,,,,,,N
978,),,,,,,,,,,,
979,,,,),,,,,,,,
980,,,,,,,,,,,),
981,,,,,,,),,,,,
982,,,,,,,,),,,,
983,,,,,),,,,,,,
984,,,),,,,,,,),,
985,,,,,,,,,),,,)
988,,,,,,),,,,,,
990,,),,,,,,,,,,
1008,,,,,,,,,,(,,
1015,,,,,,,,(,,,,
1016,,,,,,,,,,,(,
1020,,,,,,,(,,,,,
1023,,,,,,,,,(,,,
1033,,,(,,,(,,,,,,
1034,,(,,,,,,,,,,
1039,(,,,,(,,,,,,,
1062,,,,,,,t,,,,,
1067,,,,,,,,,,,t,
1068,,,,,,,,t,,t,,
1070,,,,,,,,,t,,,
1075,t,,,,t,,,,,,,
1076,,t,t,,,t,,,,,,(
1078,,,,(,,,,,,,,
1103,,,,,,),,,,,,
1105,,,,t,,,,,,,,
1110,,),,,,,,,,,,
1112,,,,,),,,,,,,
1113,,,,,,,,,,),,
1114,,,,,,,,,,,),
1115,),,,,,,,),,,,
1116,,,,,,,),,),,,
1117,,,,,,,,,,,,t
1119,,,),,,,,,,,,
1134,,,,),,,,,,,,
1137,,,(,,,,,,(,,,
1142,,,,,,(,,,,,,
1144,,,,,,,,,,,(,
1146,,,,,,,,,,,,)
1149,,(,,,,,,,,(,,
1153,,,,(,,,,,,,,
1165,,,,,,,(,,,,,
1171,,,,,,,,(,,,,
1173,,,p,,,,,,,,,
1175,,,,,,p,,,p,p,,
1176,,p,,,,,,,,,,
1177,,,,p,(,,,,,,p,
1192,,,,,,,,p,,,),(
1194,(,,,,,,,,,,,
1196,,,,,,,p,,,),,
1199,,,,,,,,,),,,
1204,,,,,,),,,,,,
1207,,),),,,,,,,,,p
1208,p,,,,,,,,,,,
1209,,,,),,,,,,,,
1210,,,,,p,,,,,,,
1215,,,,,,,,),,,,
1220,,,,,,,),,,,,
1221,),,,,,,,,,,,
1227,,,,,,,,,,,,)
1231,,,,,),,,,,,,
1237,,(,,,,,,,,,,
1238,,,,,,(,,(,(,(,,
1239,,,,,,,,,,,(,
1243,,,(,,,,,,,,,
1244,,,,(,(,,,,,,,(
1245,(,,,,,,(,,,,,
1249,,,,,,,,,,N,,
1250,,,,,,,,,N,,,
1251,,,,,,,N,N,,,,
1252,,,,N,,,,,,,,
1257,,,N,,,,,,,,,
1258,,,,,,N,,,,,,
1261,,N,,,,,,,,,,
1268,N,,,,N,,,,,,,
1269,,,,,,,,,,,N,
1270,,,,,,,,,,,,N
1289,),,,,,,,,,,,
1291,,,,),,,,,,,,
1292,,,,,),,,,,,,
1293,,,,,,,),,,,),
1294,,,),,,,,,,,,
1295,,,,,,,,),),),,
1300,,,,,,),,,,,,
1301,,),,,,,,,,,,
1303,,,,,,,,,,,,)
1323,,,,,,,,,,(,,
1331,,,,,,,,,(,,,
1335,,,,,,,(,,,,,
1337,,,,,,,,(,,,,
1341,,,,,,,,,,,(,
