,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
709,,(,,,,,,,,,,
710,,,,,,,,,(,(,,
711,,,,,,,,,,,(,
713,(,,,,,(,(,,,,,(
715,,,(,(,,,,,,,,
718,,,,,(,,,,,,,
719,,,,,,,N,(,,,,
726,,,,,,,,N,,,,
728,,,,,,,,,N,,,
732,N,,,,,,,,,,N,
733,,N,N,,,N,,,,N,,N
745,,,,,N,,,,,,,
748,,,,N,,,,,,,,
758,),,),,,),,,,,,
759,,),,,,,),,,,),)
760,,,,,,,,,),,,
761,,,,,,,,),,,,
762,,,,),,,,,,,,
763,,,,,,,,,,),,
775,,,,,),,,,,,,
811,,,,,,,,(,,,,
814,(,,,,,,,,,,,
828,,,,,(,,,,,(,(,
829,,,(,,,,(,,,,,
833,,,,,,,,,,,,(
834,,,,(,,(,,,,,,
837,,,,,,,,,(,,,
839,,(,,,,,,,,,,
849,,,,,,,,t,,,,
857,t,,,,,,,,,,,
860,,,,,,,t,,,,,
870,,,,,t,,,,,,,
872,,,t,,,,,,,,,
873,,,,,,t,,,,,,
875,,t,,,,,,,,,t,t
878,,,,t,,,,,,t,,
881,,,,,,,,,t,,,
882,),,,,,,,,,,,
888,,,,,,,,),,,,
895,,,,,,,),,,,,
909,,,,,),,,,,,,
913,,,),,,,,,,,,
916,,,,,,),,,,,,)
920,,),,,,,,,,,,
921,,,,,,,,,,,),
922,,,,,,,,,,),,
924,,,,),,,,,,,,
927,,,,,,,,,),,,
996,,,(,,,,,,,,,
998,,,,,,(,,,,,,
999,,,,,,,,,,(,,
1000,,,,(,,,,,(,,(,
1001,,,,,,,,(,,,,
1003,,(,,,,,,,,,,
1005,,,,,,,,,,,,(
1006,(,,,,,,,,,,,
1013,,,,,,,,p,,,,
1014,,,,,,,(,,,,,
1024,,,,,(,,,,,,,
1026,,,p,,,,,,,,,
1028,,,,,,p,,,,,,
1030,,p,,,,,,,,,,
1031,,,,,,,,,,p,,
1032,,,,,,,,,p,,,
