,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
751,,,,,,,,,,(,,
752,,,,(,(,,,,(,,,
754,(,(,,,,,,(,,,,
755,,,,,,,,,,,(,(
756,,,(,,,(,(,,,,,
760,,,,N,,,,,,,,
761,,,,,,,N,,,,,
769,,,,,N,,,N,N,,,
774,,,,,,,,,,N,N,
775,N,,,,,,,,,,,
776,,N,,,,,,,,,,N
778,,,N,,,N,,,,,,
795,),,,,,,,,,,,
796,,,,,),,,,,,,
797,,,,),,,,,,,,
800,,,,,,,,,,,),
801,,),),,,,,,,,,
803,,,,,,,),),,),,
804,,,,,,,,,),,,
808,,,,,,),,,,,,
810,,,,,,,,,,,,)
871,,,,,,,(,,,,,
880,,,,,,,,,,,,(
884,,,,,,(,,,,,,
887,,,(,,,,,,,,,
888,,(,,(,(,,t,,,,,
892,,,,,,,,,,(,,
908,,,,,,,,(,,,,
910,(,,,,,,,,,,,
923,,,,,,,,,,,(,
934,,,,t,,,,,,,,
935,,t,,,,t,,,,,,
936,,,t,,,,,,,,,
937,,,,,,,,,,,,t
942,,,,,,,),,,,,
944,,,,,,,,,,t,,
945,,,,,t,,,t,(,,,
950,,,,),,,,,,,,
951,t,,,,,,,,,,,
953,,,,,,,,,,,t,
960,,),,,,,,,,,,
964,,,),,,,,),,,,
965,,,,,),),,,,,,
967,,,,,,,,,t,,,
971,,,,,,,,,,),,
974,,,,,,,,,,,,)
980,),,,,,,,,,,,
988,,,,,,,,,,,),
1015,,,,,,,,,),,,
1232,,,(,,,,,,,,,
1239,,,,,(,,,,,,,
1252,,(,,,,(,,,,,,
1253,,,,(,,,,,,,,
1257,,,,,,,,,(,,,
1261,,,,,,,,,,(,,
1262,(,,p,,,,,,,,,
1268,,,,,,,,,,,,(
1270,,,,,,,,,p,,,
1272,,,,,,,,,,p,(,
1273,,,,,,,(,,,,,
1280,,,,,,,,(,,,,
1285,,,,,p,,,,,,p,
1288,,,,,,p,,,,,,
1289,,p,,,,,,,,,,
1291,,,,p,,,,,,,,
1293,p,,,,,,,,,,,p
1294,,,,,,,p,,,,,
1299,,,),,,,,,,,,
1300,,,,,,,,p,,,,
1306,,,,,,,,,),,,
1307,,,,,),,,,,,,
1310,),,,,,,,,,,,
1312,,,,),,,,,,,,
1313,,,,,,,,,,,),
1316,,),,,,,,,,,,
1317,,,,,,),,,,,,
1318,,,,,,,,,,),,
1319,,,,,,,),,,,,
1322,,,,,,,,),,,,
1324,,,,,,,,,,,,)
