,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
709,,,,,,,,(,,,,
710,,N,N,N,,N,,,,,,
717,,,,,,,(,,(,,,
718,,,,,,,,,,,(,(
720,,,,,,,,,,(,,
722,(,,,,,,,,,,,
723,,,,,(,,,,,,,
725,,,,,,,N,,,,,
727,,,,,,,,N,,,,
731,,,,,,,,,N,,,
743,,,,,,,,,,N,,
744,N,,,,N,,,,,,,
747,,,,,,,,,,,N,
748,,,,,,,,,,,,N
770,,,,),,,,,,,,
782,,,,,,,,,,,,)
783,,,,,,,,,,),),
784,,),,,,,,),,,,
786,,,),,),),,,),,,
787,),,,,,,),,,,,
816,,,,,,,,,(,,,
823,,,,,,,,(,,,,
825,,,,,,,(,,,,,
835,(,,,,(,,,,,,,
846,,,(,,,,,,,,,
848,,,,,,(,,,,,,
865,,(,,,,,,,,,,
875,,,,,,,,t,,,,
882,,,,,,,t,,,,,
883,,,,,,,,,,(,,
885,,,,(,,,,,,,,
888,t,,,,,,,,,,(,
889,,,,,t,,,,,,,(
890,,,t,,,,,,,,,
891,,,,,,t,,,,,,
909,,,,,,,,,t,,,
917,,,,,,,,,,t,,
922,),t,,,,,,,,,,
923,,,,t,,,,,,,t,
924,,,,,,,,,,,,t
933,,,,,),,),,,,,
948,,,),,,),,),,,,
949,,,,,,,,,),,,
950,,),,,,,,,,,,
952,,,,),,,,,,,,
956,,,,,,,,,,),,
962,,,,,,,,,,,),
970,,,,,,,,,,,,)
1166,,N,N,N,,N,,,,,,
1170,,,,,,,,(,,,,
1173,,,,,,,,,,(,,
1174,,,,,,,(,,,,,(
1175,,,,,,,,,(,,(,
1176,(,,,,,,,,,,,
1179,,,,,(,,,,,,,
1180,,,,,,,N,,,,,
1186,,,,,,,,N,,,,
1189,,,,,,,,,N,,,
1199,,,,,,,,,,N,,
1201,,,,,N,,,,,,,
1202,N,,,,,,,,,,,
1203,,,,,,,,,,,N,
1205,,,,,,,,,,,,N
1222,,,,),,,,,,,,
1228,,,,,,,,,,,,)
1233,,,,,,,,,,,),
1236,,,,,,,),,,),,
1239,,,,,),,,,,,,
1240,),),,,,),,),,,,
1241,,,,,,,,,),,,
1242,,,),,,,,,,,,
1268,,,,,,,,,(,,,
1276,,,,,,,,(,,,,
1278,,,,,,,(,,,,,
1292,(,,,,,,,,,,,
1299,,,(,,,,,,,,,
1300,,,,,,(,,,,,,
1302,,(,,,,,,,,,,
1308,,,,,(,,,,,,,
1326,,,,,,,,t,,,,
1333,,,,,,,t,,,,,
1334,,,,,,t,,,,,,
1335,,,,,,,,,,(,,
1342,,,t,,,,,,,,,(
1343,t,,,,t,,,,,,(,
1344,,,,(,,,,,,,,
1360,,,,,,,,,t,,,
1369,,,,,,,,,,t,,
1372,),t,,,,,,,,,,
1373,,,,t,,,,,,,,
1375,,,,,,,,,,,t,
1381,,,,,,,,,,,,t
1384,,,,,),,,,,,,
1390,,,,,,,),,,,,
1396,,,,,,,,),,,,
1397,,,),,,,,,,,,
1400,,),,,,),,,,,,
1402,,,,,,,,,),,,
1405,,,,),,,,,,,,
1409,,,,,,,,,,),,
1421,,,,,,,,,,,,)
1424,,,,,,,,,,,),
1631,,N,N,N,,N,,,,,,
1632,,,,,,,,(,,,,
1638,,,,,,,(,,,,,
1639,,,,,,,,,,,,(
1640,(,,,,,,,,(,,,
