,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
571,(,,,,(,,,,,,,
576,,,,,,,,(,,,,
577,,,(,,,,(,,,,,
582,,,,(,,,,,(,(,(,(
583,,(,,,,(,,,,,,
591,,,,,,,N,,,,,
592,,,,,N,,,,,,,
593,,,,,,,,N,,,,
598,N,,,,,,,,,,,
602,,,N,,,N,,,,,,
603,,N,,,,,,,,,,N
604,,,,,,,,,N,N,N,
613,,,,N,,,,,,,,
619,,,,,),,,,,,,
625,,,,,,,),,,,,
626,,,,,,),,,,),,)
627,,,),,,,,),),,),
629,,),,,,,,,,,,
631,),,,,,,,,,,,
636,,,,),,,,,,,,
656,,,,,,,,(,,,,
664,,,,,,,,,(,,,
665,,,,,,,,,,,(,
668,,,,,,,,,,(,,
671,,,,,,,,,,,,(
672,,,,,,(,,,,,,
673,(,(,,,,,,,,,,
674,,,,,(,,,,,,,
675,,,,(,,,,,,,,
685,,,(,,,,,,,,,
687,,,,,,,(,,,,,
713,,,,,t,,,,,,,
720,,,,,,,,t,,,,
724,,,,,,,t,,t,,,
726,,,,,,,,,,t,,t
727,,t,t,t,,t,,,,,t,
729,t,,,,,,,,,,,
747,,,,,),,,,,,,
752,,,,,,,),,,,,
763,,,,,,,,,,,,)
767,,,,,,,,,),,),
768,),,,,,,,,,,,
769,,,,),,,,),,,,
770,,,,,,,,,,),,
772,,),),,,),,,,,,
934,,,,,,(,,,,,,
935,,(,,,,,,,,,,
941,,,(,,,,,,,,,
942,,,,,,,,,,,(,
943,,,,,,,,,(,(,,
944,,,,(,,,,,,,,
945,(,,,,,,,,,,,(
946,,,,,,,(,,,,,
951,,,,,,,,(,,,,
957,,,,,(,,,,,,,
960,,,p,,,,,,,,,
961,,,,,,p,,,,,,
962,,p,,,,,,,,,,
963,,,,p,,,p,,,p,,p
964,,,,,,,,,p,,,
965,,,,,,,,,,,p,
966,p,,,,,,,p,,,,
971,,,),,p,,,,,,,
974,,,,,,,),,,,,
982,,,,),),,,,,,,
983,),,,,,),,),,,),
984,,,,,,,,,,),,
985,,),,,,,,,,,,
986,,,,,,,,,),,,)
989,,,,(,,,,,,,,
994,,,,,(,,,(,,,,
998,,,,,,,(,,,,,
999,,(,(,,,(,,,(,,(,(
1000,,,,,,,,,,(,,
1001,(,,,,,,,,,,,
1008,,,,,,,N,,,,,
1009,,,,,N,,,N,,,,
1015,N,,,,,,,,,,,
1018,,N,,,,,,,,,,
1019,,,N,,,N,,,,,,
1020,,,,,,,,,,N,N,N
1021,,,,,,,,,N,,,
1027,,,,N,,,,,,,,
1032,,,,,),,,,,,,
1040,),,,,,,,,,,,)
1041,,,,,,,),,,,,
1043,,,,,,),,,,,,
1044,,,),,,,,,,,),
1045,,),,,,,,),),),,
1049,,,,),,,,,,,,
1080,,,,,,,,,(,(,,
1081,,,,,,,,(,,,,
1086,,,,,,,,,,,(,(
1093,,,,,,,(,,,,,
1098,,(,,,,,,,,,,
1099,(,,,,(,,,,,,,
1100,,,,(,,(,,,,,,
1101,,,(,,,,,,,,,
1137,,,,,,,,t,,,,
1138,,,,,t,,,,,,,
1141,t,,,,,,,,,,,
1142,,,,t,,,,,t,,,
1143,,t,,,,,,,,t,t,t
1144,,,,,,t,t,,,,,
1148,,,t,,,,,,,,,
1166,,,,,),,,,,,,
1175,,,,,,,),,,,,
1177,),,,,,,,,,,,
1179,,,,,,,,,,,,)
1185,,),,,,),,),,,,
1186,,,),,,,,,,,,
1187,,,,),,,,,,,,
1188,,,,,,,,,,),,
1190,,,,,,,,,),,),
1367,(,,,,(,,,,,,,
1370,,,,(,,,,,,,,
1374,,(,,,,,,,,,,
1375,,,,,,(,,,,,,
1377,,,,,,,,,,(,,(
1378,,,,,,,,,(,,(,
1379,,,(,,,,,(,,,,
1384,,,,,p,,,,,,,
1385,,,,,,,(,,,,,
1395,,,p,,,p,,,,,,
1396,,p,,,,,,,,,,
1399,,,,p,,,,,,,,
1400,,,,,,,p,,,p,,p
1401,,,,,,,,,p,,p,
1403,p,,,,,,,p,,,,
1407,,,),,,,,,,,,
1408,,,,,,,),,,,,
1414,,,,,,,,,,,,)
1415,,,,,),,,,,,,
1417,,,,),,),,,),),),
1418,,),,,,,,,,,,
1419,,,,,,,,),,,,
1422,),,,,,,,,,,,
1425,,,,,,,(,(,,,,
1426,,,,,(,,,,,,,
1430,,,,(,,,,,,,,
1431,,(,(,,,(,,,,,,
1432,,,,,,,,,,(,(,
1433,,,,,,,,,,,,(
1434,,,,,,,,,(,,,
1435,(,,,,,,,,,,,
1441,,,,,,,N,,,,,
1442,,,,,N,,,,,,,
1443,,,,,,,,N,,,,
1449,N,,,,,,,,,,,
1452,,N,N,,,N,,,,,,N
1454,,,,,,,,,N,N,N,
1465,,,,N,,,,,,,,
1470,,,,,),,,,,,,
1475,,,,,,,),,,,,
1476,,),,,,,,,,,,
1477,),,,,,),,,,,),)
1478,,,),,,,,),),),,
1486,,,,),,,,,,,,
1504,,,,,,,,(,,,,
1514,,,,,,,,,(,,(,
1524,,,,(,,,,,,,,
1525,,,,,,,,,,(,,
1526,(,,,,,,,,,,,
1528,,,,,(,,,,,,,
1530,,,,,,,(,,,,,
1534,,(,,,,,,,,,,
1535,,,,,,(,,,,,,(
1542,,,(,,,,,,,,,
1567,,,,,t,,,,,,,
1571,t,,,,,,,,,,,
1572,,,,,,,,t,,,,
1574,,,,,,,,,t,,,
1576,,,,,,,t,,,t,t,t
1578,,,,t,,,,,,,,
1579,,t,,,,,,,,,,
1580,,,,,,t,,,,,,
1582,,,t,,,,,,,,,
1602,,,,,,,),,,,,
1605,,,,,),,,,,,,
1614,),,,,,,,,,,,)
1615,,,),,,,,,,,,
1616,,,,),,),,,,,,
1617,,,,,,,,),,,),
1618,,),,,,,,,),,,
1619,,,,,,,,,,),,
1793,(,,,,,,,,,,,
1795,,,,,,,(,,,,,
1803,,,,,,(,,,,,,
1805,,(,,,,,,,,,,
1807,,,(,,,,,,,,,
1809,,,,(,,,,,,,,
1812,,,,,,,,,,,(,(
1813,,,,,,,,,,(,,
1817,,,,,,,,(,(,,,
1826,,,p,,,,,,,,,
1827,,,,,,p,,,,,,
1828,,p,,,(,,p,,,,,
1829,,,,p,,,,,,,,
1830,,,,,,,,,,p,p,p
1831,,,,,,,,p,p,,,
1834,p,,,,,,,,,,,
1837,,,),,,,,,,,,
1838,,,,,p,,,,,,,
