,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
774,(,,,,,,,,,,,
777,,(,,,,,,,,,,
778,,,,,,(,,(,,(,,
779,,,(,,(,,,,(,,(,
781,,,,,,,(,,,,,
782,,,,,,,,,,,,(
784,,,,(,,,,,,,,
787,,,,,,,N,,,,,
791,,,,,,,,,N,,,
797,,,N,,,,,,,,,
798,,N,,,,N,,,,,,
799,N,,,,,,,,,,,
800,,,,,,,,,,,N,N
801,,,,,,,,,,N,,
802,,,,,N,,,,,,,
815,,,,N,,,,N,,,,
816,,,,,,,,,,,,)
817,,,,,,,,,,,),
819,,,,,,,,,,),,
822,,),,,,,,,,,,
823,,,),),,),,,,,,
824,,,,,,,,),),,,
825,,,,,,,),,,,,
828,),,,,),,,,,,,
863,,,,,,,,,,(,,
864,,,,,,,,,(,,,
872,,,,,,,,,,,,(
873,,,,,,,,,,,(,
875,,(,,,,,,,,,,
876,(,,,,,,,(,,,,
878,,,,,(,,,,,,,
882,,,,(,,,(,,,,,
889,,,,,,(,,,,,,
901,,,(,,,,,,,,,
930,,,,,,,,,t,,,
932,,,,,t,,,t,,,,
933,,,,,,,,,,t,,t
934,t,,,t,,,t,,,,t,
935,,t,,,,t,,,,,,
945,,,t,,,,,,,,,
972,,,,,),,,,,,,
974,,,,,,,),,,,,
976,,,,,,,,),,,,
977,),,,,,,,,,,,)
978,,,,),,),,,,,,
979,,,,,,,,,),,),
983,,,,,,,,,,),,
984,,),,,,,,,,,,
989,,,),,,,,,,,,
1236,,,,,,,(,,,,,
1240,(,,,(,,,,,,,,
1242,,,(,,,,,,(,,,
1243,,,,,,,,,,,(,
1244,,(,,,,(,,,,,,
1245,,,,,,,,,,(,,(
1248,,,,,,,,(,,,,
1255,,,,,,,,p,,,,
1257,,,,,,,p,,,,,
1259,,,,,(,,,,,,,
1263,,,p,,,,,,,,,
1265,,,,,,p,,,,,,
1267,,p,,,,,),,,,,
1269,,,,p,,,,,,,,
1270,,,,,,,,,p,,,
1272,,,,,,,,,,p,p,
1273,p,,,,,,,,,,,
1274,,,,,,,,,,,,p
1279,,,,,p,,,,,,,
1282,,,),,,,,,,,,
1283,,,,,,,,),,,,
1288,,,,,,,,,,,),
1289,,,,,,,,,),,,
1290,),,,,,,,,,),,)
1291,,,,,,),,,,,,
1292,,,,),,,,,,,,
1294,,),,,),,,,,,,
1310,,,(,,,,,,,,,
1311,,,,,,(,,(,,,,
1312,(,(,,,,,,,(,,,(
1313,,,,,(,,(,,,,,
1314,,,,,,,,,,(,(,
1317,,,,(,,,,,,,,
1319,,,,,,,N,,,,,
1323,,,,,,,,,N,,,
1329,,,N,,,N,,,,,,
1330,,N,,,,,,,,,,
1331,N,,,,,,,,,,N,
1332,,,,,N,,,,,,,N
1333,,,,,,,,,,N,,
1347,),,,,,,,,,,,)
1348,,,,N,,,,N,,),,
1349,,,,,,,,,,,),
1352,,,,,,,,,),,,
1354,,,,,,),,,,,,
1355,,,),,,,,,,,,
1356,,,,,),,,,,,,
1358,,,,,,,),,,,,
1361,,),,,,,,,,,,
1363,,,,),,,,,,,,
1371,,,,,,,,),,,,
1398,(,,,,,,,,,,,
1399,,,,,,,,,(,(,,
1400,,,,,,,,,,,(,
1405,,,,,,,(,,,,,
1406,,,,,,,,,,,,(
1407,,,,,(,,,,,,,
1410,,,,,,,,(,,,,
1412,,,,(,,,,,,,,
1419,,(,,,,,,,,,,
1421,,,,,,(,,,,,,
1432,,,(,,,,,,,,,
1463,,,,,,,t,,t,,,
1464,,,,,t,,,,,,,
1465,t,,,,,,,,,t,,t
1466,,t,,t,,t,,,,,t,
1467,,,,,,,,t,,,,
1477,,,t,,,,,,,,,
1501,,,,,,,),,,,,
1506,,,,,),,,,,,,
1508,,,,,,,,),,,,
1511,,),,,,,,,),,,)
1512,),,,,,),,,,,,
1513,,,,),,,,,,),,
1514,,,),,,,,,,,),
1738,,,,,,,,(,,,,
1743,(,(,(,(,,,,,,,,(
1745,,,,,,,,,(,(,,
1748,,,,,,(,,,,,,
1749,,,,,,,(,,,,,
1751,,,,,,,,,,,(,
1757,,,,,,,,p,,,,
1759,,,,,,,p,,,,,
1762,,,,,,,,,p,,,
1763,,,,,(,,,,,,,
