,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
523,,,(,,,,,,,,,
525,(,,,,(,,(,,,,,
526,,,,,,(,,(,(,,,
528,,,,,,,,,,(,,(
529,,,,,,,,,,,(,
530,,(,,,,,,,,,,
534,,,,(,,,,,,,,
536,,,,,,,,N,,,,
537,,,,,,,N,,,,,
540,,,,,,,,,N,,,
541,,,N,,,,,,,,,
543,,,,,,N,,,,,,
544,,N,,,,,,,,,,
545,N,,,,,,,,,N,N,N
551,,,,,N,,,,,,,
555,,,,N,,,,,,,,
568,,,,),,,,,,,,
569,,),,,,,,,,,,)
570,),,,,,,),),),),),
571,,,),,,,,,,,,
572,,,,,,),,,,,,
578,,,,,),,,,,,,
598,,,,,,,,,(,,,
599,,,,,,,,(,,(,,
600,,,,,,,(,,,,,
616,(,,,,,,,,,,,
618,,,,,,,,,,,,(
619,,(,,,,,,,,,,
621,,,,,,,,,,,(,
624,,,,,(,,,,,,,
628,,,,(,,,,,,,,
630,,,,,,(,,,,,,
638,,,,,,,t,,,,,
647,,,(,,,,,,,,,
654,,,,,,,,t,,,,
655,,,,,,,,,t,,,
660,,,,,,,,,,t,,
663,t,t,,t,t,,,,,,,
665,,,,,,t,,,,,t,
666,,,,,,,,,,,,t
671,,,,,,,),,,,,
684,,,t,,,,,,,,,
694,,,,,),,,,,,,
696,,,,),,,,,,,,
704,),,,,,,,),,,,
706,,,,,,,,,),,,
707,,,,,,,,,,),,
708,,,,,,,,,,,,)
710,,,,,,,,,,,),
711,,),,,,),,,,,,
712,,,),,,,,,,,,
789,,,(,,,(,(,,,,,
791,,,,,,,,,,(,,
792,(,(,,,,,,,,,,
793,,,,(,,,,,(,,,
796,,,,,,,,,,,(,(
800,,,,,(,,,,,,,
809,,,,,,,p,,,,,
816,,,,,,,,,p,,,
817,,,p,,p,,,,,,,
818,,p,,,,p,,,,p,p,p
819,,,,p,,,,,,,,
820,p,,,,,,,,,,,
821,,,,,,,),,,,,
836,,,,,),,,,,,,
840,,,,,,,,,,),,
841,,,,,,,,,),,,)
842,,,),,,,,,,,),
844,),,,,,),,,,,,
846,,),,,,,,,,,,
