,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
858,,,,,,,,,,(,,
864,,,,,,,,,(,,,
866,,,,,,,,,,,(,
867,,,,,,,(,(,,,,
871,,,,,,,,,,,,(
872,(,,,,,,,,,,,
873,,(,,,,,,,,,,
876,,,,,(,,,,,,,
879,,,,(,,,,,,,,
881,,,(,,,,,,,,,
882,,,,,,(,,,,,,
883,,,,,,,N,,,,,
888,,,,,,,,N,,,,
891,,,,,,,,,N,,,
893,,,,,,,,,,N,,
894,,,,,N,,,,,,N,
895,N,,,,,,,,,,,N
896,,N,,,,,,,,,,
897,,,,,,N,,,,,,
904,,,N,,,,,,,,,
916,,,,,),,,,,),,
920,,,,,,,,,,,),
921,),,,N,,,,,,,,
923,,,,,,,,,),,,
924,,,),,,,,,,,,
927,,,,,,,),,,,,)
929,,,,),,,,,,,,
930,,,,,,),,,,,,
933,,),,,,,,,,,,
938,,,,,,,,),,,,
971,,,(,,,,,,,,,
973,,,,,(,,,,,,,
979,(,,,,,,,,,,,
980,,(,,(,,,,,,,,
981,,,,,,,,(,(,,,
983,,,,,,,,,,,(,
986,,,,,,,,,,(,,
990,,,,,,(,,,,,,
991,,,,,,,,,,,,(
1000,,,,,,,(,,,,,
1011,,,t,,,,,,,,,
1012,,,,,,,,t,,,,
1022,,,,,t,,,,,,,
1043,,,,,,,t,,,,,
1044,t,,,,,,,,,,,
1045,,,,t,,,,,,,,
1046,,t,,,,t,,,,,,
1049,,,,,,,,,,,t,t
1051,,,,,,,,,t,,,
1054,,,),,,,,,,,,
1055,,,,,,,,,,t,,
1070,,,,,),,,,,,,
1076,),,,,,,,,,,,
1079,,,,,,,,,),,,
1080,,,,),,,,,,,,
1081,,),,,,),,,,,,
1082,,,,,,,,,,,),
1091,,,,,,,,,,,,)
1092,,,,,,,,,,),,
1093,,,,,,,),,,,,
1100,,,,,,,,),,,,
1250,,,,,,,(,,,,,
1260,,,(,,,(,,,,,,
1261,,(,,,,,,,,,,
1262,,,,,,,,,(,(,,
1263,,,,,,,,,,,(,(
1264,,,,,,,,(,,,,
1270,,,,(,,,,,,,,
1271,(,,,,,,,,,,,
1274,,,,,(,,,,,,,
1279,,,,,,,p,,,,,
1282,,,p,,,,,,,,,
1285,,,,,,,,p,,,,
1288,,,,,,,,,p,,,
1290,,,,,,,,,,p,,
1292,,,,,,p,,,,,p,
1293,,p,,,,,,,,,,p
1294,,,,p,,,,,,,,
1297,,,,,,,),,,,,
1302,,,,,,,,,),,,
1308,p,,),,p,,,),,,,
1319,),,,,),,,,,,,
1320,,,,,,,,,,),,
1321,,,,),,),,,,,,
1322,,,,,,,,,,,,)
1324,,),,,,,,,,,),
1334,,,,,,,(,,,,,
1336,,,,,,,,,(,,,
1340,,,,,,,,,,(,,
1341,,,,,,,,(,,,,
1346,(,(,,,,,,,,,(,(
1347,,,,,(,,,,,,,
1350,,,,,,(,,,,,,
1351,,,,(,,,,,,,,
1354,,,(,,,,,,,,,
1356,,,,,,,N,,,,,
1361,,,,,,,,N,,,,
1365,,,,,,,,,N,,,
1367,,,,,N,,,,,N,,
1368,N,,,,,,,,,,N,N
1370,,N,,,,,,,,,,
1373,,,,,,N,,,,,,
1377,,,N,,,,,,,,,
1389,,,,,),,,,,),,
1391,,,,N,,,,,,,,
1393,,,,,,,,,,,),
1396,),,,,,,),,,,,
1397,,,,,,,,),,,,
1398,,,,),,,,,,,,
1399,,,,,,,,,),,,
1402,,,),,,,,,,,,
1404,,,,,,,,,,,,)
1405,,,,,,),,,,,,
1406,,),,,,,,,,,,
1437,(,,,,(,,,,,,,
1442,,,,(,,,,,,,,
1451,,(,,,,,,,,,,
1452,,,,,,,,(,(,,,
1454,,,,,,,,,,,,(
1459,,,,,,,,,,(,,
1466,,,,,,,,,,,(,
1471,,,,,,(,,,,,,
1474,,,,,,,(,,,,,
1486,,,,,,,,t,,,,
1493,,,(,,,,,,,,,
1498,,,,,t,,,,,,,
1515,,,,,,,t,,,,,
1521,,,,,,,,,,,,t
1522,t,,,t,,,,,,,,
1523,,t,,,,,,,t,,t,
1524,,,,,,t,,,,,,
1525,,,,,,,,,,t,,
1536,,,t,,,,,,,,,
1543,,,,,),,,,,,,
1544,,,,,,,,),,,,
1546,,,,,,,),,,,,
1555,,,,),,,,,,,,
1557,,,,,,,,,),),),)
1558,),,,,,,,,,,,
1560,,),,,,,,,,,,
1561,,,,,,),,,,,,
1563,,,),,,,,,,,,
1733,,,,,,,(,,,,,
1739,,(,,,,(,,,,,,(
1741,(,,,,,,,,(,,,
1742,,,,,,,,,,(,(,
1744,,,,(,,,,(,,,,
1746,,,(,,,,,,,,,
1747,,,,,(,,,,,,,
1761,,,,,,,p,,,,,
1765,,,,,,,,p,,,,
1768,,,,,,,,,,p,,
1769,,,,,,p,,,,,,
1770,,,p,,,,,,p,,,
1771,,,,,,,,,,,p,
1772,,p,,,,,,,,,,
1773,,,,p,,,,,,,,p
1780,,,,,,,),),,,,
1783,,,,,,,,,),),,
1786,,,),,p,,,,,,,
1789,p,,,,,,,,,,,
1799,,,,,,),,,,,),
1801,,,,),,,,,,,,
1802,,),,,,,,,,,,
1804,,,,,,,,,,,,)
1807,),,,,),,,,,,,
1810,,,,,,,(,,,,,
1815,,,,,,,,(,,,,
1819,,,,,,,,,,(,,
1820,,,,,,,,,(,,,
1824,(,,,,(,,,,,,,
1825,,(,,,,,,,,,(,
1827,,,,,,,,,,,,(
1831,,,,(,,,,,,,,
1834,,,(,,,(,,,,,,
1835,,,,,,,N,,,,,
1841,,,,,,,,N,,,,
1844,,,,,,,,,N,,,
1846,,,,,,,,,,N,,
1847,N,,,,N,,,,,,N,N
1849,,N,,,,,,,,,,
1852,,,,,,N,,,,,,
1857,,,N,,,,,,,,,
1868,,,,,,,,,,),,
1870,,,,,),,,,,,,
1871,,,,,,,,,,,),
1872,,,),,,,,,,,,
1875,,,,,,,),,,,,
1876,),,,N,,,,,,,,
1877,,,,,,,,),),,,
1880,,,,),,,,,,,,)
1881,,),,,,,,,,,,
1882,,,,,,),,,,,,
1915,(,,,,,,,,,,,
1919,,,,,,,,(,,,,
1924,,,,,(,,,,,,,
1926,,,,,,,,,(,,,
1930,,,(,,,,,,,,,
1931,,(,,,,,,,,,,
1935,,,,,,,,,,,(,
1936,,,,,,,,,,(,,
1943,,,,(,,,,,,,,(
1952,,,,,,,(,,,,,
1961,,,t,,,,,,,,,
1963,,,,,,(,,,,,,
1966,,,,,t,,,,,,,
1975,,,,,,,,t,,,,
1989,,,),,,,,,,,,
1996,,,,,,,t,,,,,
1997,t,,,,,,,,,,,
2000,,,,,,,,,t,,,t
2003,,,,t,,,,,,,,
2004,,t,,,,,,,,,t,
2005,,,,,,t,,,,,,
2006,,,,,,,,,,t,,
2029,,,,,,,,),,,,
2030,,,,,,,,,,,),
2033,,,,,),,,,,,,
2035,,,,,,,,,),,,
2038,),,,,,,,,,,,)
2039,,),,,,,,,,),,
2045,,,,,,,),,,,,
2047,,,,,,),,,,,,
2048,,,,),,,,,,,,
2217,,,,,,,(,,,,,
2220,,,,,,(,,,,,,
2221,,,,,,,,,,,,(
2222,,(,,,,,,(,(,(,(,
2223,,,(,,,,,,,,,
2224,(,,,,,,,,,,,
2225,,,,(,,,,,,,,
2227,,,,,(,,,,,,,
2238,,,,,,,p,,,,,
2246,,,,,,,,p,,,,
2248,,,p,,,,,,,,p,
2250,,,,,,p,,,p,p,,
2251,,,,,,,,,,,,p
2252,,p,,,,,,,,,,
2253,,,,p,,,,,,,,
2261,,,,,,,,,,),,
2265,,,,,p,,,,,,,
2266,,,),,,,),,,,,
2267,p,,,,,,,,),,,
2271,,,,,,,,),,,,
2276,,,,,,,,,,,,)
2278,,,,,,),,,,,),
2279,),),,,,,,,,,,
2282,,,,),,,,,,,,
2286,,,,,),,,,,,,
2292,,,,,,,,,,(,,
2296,,,,,,,,(,,,,
2300,,,,,,,(,,,,,
2303,,,,,,,,,(,,,
2305,,(,,,,,,,,,(,(
