,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
586,(,(,,,(,,,,(,,,
587,,,,(,,,,,,,,(
588,,,,,,(,(,,,,,
589,,,,,,,,(,,(,(,
590,,,(,,,,,,,,,
593,,,,N,,,N,,,,,
602,,,,,,,,N,N,,,
605,,,,,N,,,,,,,
606,N,,,,,,,,,,,
608,,,,,,,,,,N,,
609,,N,,,,,,,,,N,
610,,,,,,N,,,,,,N
611,,,N,,,,,,,,,
625,,,,,),,,,,,,
626,,,,),,,,,,),),
628,,),,,,,,),),,,
629,),,,,,),,,,,,
630,,,,,,,,,,,,)
632,,,),,,,),,,,,
695,,,,(,,,,,,,,
697,,,,,,,,,,,(,
698,,,,,,(,,,,,,(
702,,(,,,,,(,,,,,
705,(,,,,,,,,,,,
706,,,,,,,,,,(,,
707,,,,,,,,,(,,,
715,,,(,,(,,,,,,,
721,,,,,,,,(,,,,
760,,,t,,,,,,,t,,
761,,,,,,t,t,,t,,,t
762,t,t,,t,t,,,t,,,t,
792,,,),,,,,,,,,
793,,),,,,),,,,,,
795,,,,),,,,,,,,
798,,,,,,,,),,,,
799,,,,,,,),,),,,
802,,,,,,,,,,),,
803,),,,,,,,,,,,
804,,,,,,,,,,,),)
808,,,,,),,,,,,,
1029,,(,,,,,,,,,,(
1030,,,,,,,,,(,,,
1031,,,(,,,(,,,,,,
1032,,,,(,,,,,,,(,
1033,,,,,,,,,,(,,
1034,(,,,,,,,,,,,
1036,,,,,,,(,,,,,
1050,,,,,,,,,p,,,
1053,,,,,,,,(,,,,
1054,,,p,,,,,,,p,p,
1057,,,,,(,,,,,,,
1059,,,,,,p,,,,,,p
1060,,p,,,,,,,,,,
1062,,,,p,,,p,,,,,
1065,p,,,,,,,,,,,
1066,,,,,,,,p,,,,
1068,,,,,,,,,),,,
1083,,,),,,),,,,),,
1084,,,,,p,,,,,,,
1085,,),,,,,,,,,),
1094,,,,,,,,),,,,
1095,,,,,,,),,,,,
1096,),,,,,,,,,,,)
1098,,,,),,,,,,,,
1107,,,,,),,,,,,,
1118,,,,,,,,,(,,,
1121,,,,,,,,,,,,(
1122,,,,,,(,(,(,,,,
1123,(,(,,,,,,,,,(,
1124,,,(,(,,,,,,,,
1126,,,,,,,,,,(,,
1127,,,,,(,,,,,,,
1128,,,,,,,N,,,,,
1129,,,,,,,,N,,,,
1130,,,,N,,,,,,,,
