,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
570,,,,,,,(,(,,,,
571,(,,(,,,,,,(,,(,(
572,,,,,(,,,,,,,
573,,,,,,,,,,(,,
576,,,,(,,,,,,,,
578,,(,,,,(,,,,,,
582,,,,,,,N,,,,,
583,,,,,,,,N,,,,
591,,,,,,N,,,,,,
592,N,N,N,,N,,,,N,,N,
593,,,,,,,,,,N,,N
604,,,,N,,,,,,,,
616,),,,,,,,,,,,
617,,,,,,,,,,,,)
620,,,,,,,,,,,),
623,,,,,,,),,),,,
624,,,),,,,,),,,,
625,,,,,,),,,,,,
626,,),,,,,,,,),,
627,,,,,),,,,,,,
629,,,,),,,,,,,,
640,,,,,,,,,,(,,
642,,,,,,,,,(,,,
643,,,,,,,,(,,,,
644,,,,,,,,,,,(,
649,(,,,,,,,,,,,
650,,(,,,,(,,,,,,
657,,,,(,,,,,,,,
659,,,,,,,(,,,,,
661,,,(,,,,,,,,,
663,,,,,,,,,,,,(
664,,,,,(,,,,,,,
685,,,,,,,t,,,,,
699,,,t,,,,,,,,,
700,,,,,,,,t,,,,
701,,,,,,t,,,t,,,
702,,t,,,,,,,,t,,
703,,,,t,,,,,,,t,t
704,t,,,,,,,,,,,
705,,,,,t,,,,,,,
737,,,),,,,,,,,,
741,,),,,,,,,,,,
743,,,,,,),,,,,,
744,,,,),,,,,,,,)
745,,,,,),,,,),,),
746,),,,,,,),,,),,
747,,,,,,,,),,,,
913,,,(,(,,,,,,,,
914,,(,,,,,,(,(,,,
916,,,,,(,(,(,,,,(,(
919,,,,,,,,,,(,,
925,(,,,,,,,,,,,
931,,,,,,,p,,,,,
932,,,,,,,,p,,,,
933,,,,,p,,,,,,,
936,,,,,,,,,p,,,
938,,,p,,,,,,,p,,
939,,,,,,p,,,,,,
940,,p,,,,,,,,,,
941,,,,,,,,,,,p,
943,,,,p,,,),,,,,p
948,p,,,,,,,,,,,
949,,,,,),,,,,,,
963,,,,,,,,),,,,
964,,,,,,,,,),,,
965,,,),),,),,,,,),)
966,,),,,,,,,,),,
968,),,,,,,,,,,,
996,,,,,,,(,,,,,
998,,,,,,,,(,,,,
1001,(,,(,,(,,,,,(,,
1002,,,,,,,,,,,(,(
1003,,,,,,,,,(,,,
1008,,(,,,,,,,,,,
1009,,,,,,(,,,,,,
1010,,,,(,,,,,,,,
1012,,,,,,,N,,,,,
1014,,,,,,,,N,,,,
1020,,,N,,,,,,,,,
1022,,N,,,,,,,N,,,
1023,N,,,,N,N,,,,N,N,N
1038,,,,N,,,,,,,,
1047,),,,,,,,,,,,
1052,,,,,,,),,,,),
1053,,,),,,),,),,,,)
1055,,,,,,,,,,),,
1056,,,,,,,,,),,,
1057,,),,),,,,,,,,
1060,,,,,),,,,,,,
1065,,,,,,,,,,,(,
1069,,,,,,,,,,(,,
1072,,(,,,,,,,,,,
1075,,,,,,,,(,(,,,
1077,,,,,,,,,,,,(
1081,,,,(,,,,,,,,
1082,,,,,,,(,,,,,
1083,(,,,,,,,,,,,
1084,,,(,,,(,,,,,,
1100,,,,,(,,,,,,,
1114,,,,,,,t,,,,,
1130,,,t,,,,,,,,,
1131,,,,,,,,t,,,,
1132,,t,,,,t,,,t,t,,
1133,t,,,t,,,,,,,t,t
1137,,,,,t,,,,,,,
1168,,,,,),,,,,,,
1169,,,),,,,,,,,,
1172,,,,,,),,,,,,
1175,,,,,,,,,,,),)
1176,),),,),,,),,,,,
1180,,,,,,,,),),),,
1329,,,,,,,(,,,,,
1331,,,,(,,,,,,,,
1333,,(,,,,(,,,,,,
1334,,,,,,,,,(,(,,
1335,,,(,,,,,,,,(,
1336,,,,,(,,,(,,,,
1337,,,,,,,,,,,,(
1346,(,,,,,,,,,,,
1350,,,,,,,p,,,,,
1352,,,,,,,,p,,,,
1355,,,,,p,,,,p,,,
1357,,,,,,,,,,p,,
1358,,,p,,,,,,,,,
1359,,,,,,p,,,,,,
1362,,p,,,,,),,,,,
1365,,,,p,,,,,,,,
1367,p,,,,),,,,,,,
1369,,,,,,,,,,,p,p
1384,,,,,,,,),),),,
1385,),),,),,),,,,,,
1386,,,,,,,,,,,),
1388,,,,,,,,,,,,)
1389,,,),,,,,,,,,
1418,,,,,,,,(,,,,
1420,,,(,,,,(,,,,,
1422,(,,,,,,,,(,,(,
1423,,,,,,,,,,,,(
1424,,,,,(,,,,,(,,
1430,,(,,(,,(,,,,,,
1433,,,,,,,N,,,,,
1436,,,,,,,,N,,,,
1442,,,N,,,,,,,,,
1443,,N,,,,N,,,N,,,
1444,N,,,,N,,,,,N,N,N
1458,,,,N,,,,,,,,
1469,),,,,,,,,,,,)
1472,,,,,,,,,,,),
1473,,,,,,,),,,,,
1474,,,,,),,,,,,,
1475,,,),,,,,,),,,
1477,,,,,,),,),,),,
1480,,),,,,,,,,,,
1481,,,,),,,,,,,,
1489,,,,,,,,,,,(,
1491,,,,,,,,,,(,,
1493,,,,,,,,,(,,,
1498,,,,,,,,(,,,,(
1499,(,,,,,,,,,,,
1504,,,,(,,(,,,,,,
1505,,(,,,,,,,,,,
1506,,,(,,,,,,,,,
1513,,,,,(,,,,,,,
1551,,,t,,,,,,,,,
1552,,,,,,,,t,,,,
1553,,t,,,,t,,,t,t,,
1554,t,,,t,,,,,,,t,t
1555,,,,,,,(,,,,,
1556,,,,,t,,,,,,,
1576,,,,,,,t,,,,,
1588,,,,,),,,,,,,
1589,,,),,,,,,,,,
1595,,,,,,),,,,,,
1597,),,,,,,,,,,,
1598,,,,),,,,),,,,)
1599,,),,,,,,,,,,
1600,,,,,,,),,),),,
1601,,,,,,,,,,,),
1727,,,,,,,(,,,,,
1732,,,,,,,,,(,,,
1734,,,(,(,,,,,,(,,
1735,,(,,,,,,,,,(,
1736,,,,,(,(,,(,,,,(
1747,(,,,,,,,,,,,
1750,,,,,,,p,,,,,
1752,,,,,,,,p,,,,
1755,,,,,p,,,,p,,,
1756,,,,,,,,,,p,,
1758,,,p,,,,,,,,,
1760,,,,,,p,,,,,p,
1761,,p,,,,,,,,,,
1762,,,,,,,),,,,,
1763,,,,p,,,,,,,,
1767,p,,,,,,,,,,,p
1769,,,,,),,,,,,,
1782,,,,,,,,,,),,
1783,,,,,,),,,,,,
1784,,),,,,,,),,,,
1785,),,),,,,,,),,,
1786,,,,,,,,,,,,)
1787,,,,),,,,,,,,
1788,,,,,,,,,,,),
1819,,,(,,,,,,,,,
1822,,,,,,,(,(,,,,(
1823,,,,,,,,,,(,(,
1824,(,,,,(,,,,(,,,
1828,,,,,,(,,,,,,
1830,,(,,(,,,,,,,,
1834,,,,,,,N,N,,,,
1842,,N,N,,,N,,,,,,
1843,N,,,,,,,,,,N,
1844,,,,,N,,,,N,N,,N
1857,,,,N,,,,,,,,
1867,),,,,,,,,,,,
1874,,,,,,,),,,,),)
1875,,,,),,,,,,),,
1876,,,,,,,,),),,,
1878,,,,,,),,,,,,
1879,,),),,,,,,,,,
1881,,,,,),,,,,,,
1889,,,,,,,,,(,,,
1890,,,,,,,,,,,(,(
1891,,,,,,,,,,(,,
1893,,,,,,,,(,,,,
1899,,,,,,(,,,,,,
1900,,(,,,,,,,,,,
1901,,,,(,,,,,,,,
1902,(,,,,,,,,,,,
1909,,,(,,,,,,,,,
1921,,,,,(,,,,,,,
1951,,,t,,,,,,,,,
1952,,,,,,t,(,t,t,,,
1953,,t,,t,,,,,,t,,
1954,t,,,,,,,,,,t,t
1957,,,,,t,,,,,,,
1977,,,,,,,t,,,,,
1987,,,,,),,,,,,,
1991,,,),,,,,,,,,
1994,),,,,,,,,,,,
1995,,),,,,,,,,,,
1996,,,,),,),,,,,,
1999,,,,,,,,),),),,
2000,,,,,,,,,,,),)
2003,,,,,,,),,,,,
2108,,,,,(,,,,,,,
2109,,,(,,,,,,,,,
2110,,,,,,,(,,,,,
2111,,(,,,,,,,,,,
2112,,,,,,,,(,,,,
2113,,,,(,,,,,(,,,
2114,,,,,,(,,,,,,
2115,,,,,,,,,,,(,
2116,(,,,,,,,,,(,,
2120,,,,,,,,,,,,(
2129,,,,,,,p,,,,,
2131,,,,,,,,p,,,,
2135,,,,,,,,,p,,,
2136,,,,,p,,,,,,,
2137,,,p,,,,,,,p,,
2139,,,,,,p,,,,,,
2142,,p,,,,,),,,,,
2144,,,,p,,,,,,,,
2146,p,,,,,,,,,,,
2147,,,,,,,,,,,p,
2148,,,,,,,,,,,,p
2149,,,,,),,,,,,,
2163,,,,,,,,,,,,)
2164,,,,,,),,),),),),
2166,),),,),,,,,,,,
2167,,,),,,,,,,,,
2200,,,,,,,,(,,,,
2201,,,,,,,(,,,,,
2202,,,(,,,,,,(,,,
2203,(,,,,(,,,,,,,(
2204,,,,,,,,,,,(,
2207,,,,,,,,,,(,,
2208,,,,(,,,,,,,,
2210,,,,,,(,,,,,,
2211,,(,,,,,,,,,,
2214,,,,,,,N,,,,,
2216,,,,,N,,,N,,,,
2223,,,N,,,,,,N,,,
2224,N,N,,,,N,,,,,,
2225,,,,,,,,,,N,N,N
2237,,,,N,,,,,,,,
2248,),,,,,,,,,,,
2252,,,,,,,,,,,,)
2256,,,,,,,),,,,),
2257,,,),,),,,),,,,
2258,,),,),,),,,,),,
2260,,,,,,,,,),,,
2273,,,,,,,,,,(,,
2276,(,,,,,,,,,,(,
2277,,,,,,,,,(,,,
2278,,,,,,,,(,,,,
2280,,(,,,,,,,,,,
2281,,,(,,,(,,,,,,
2287,,,,(,,,,,,,,(
2310,,,,,(,,,,,,,
2331,,,t,,,,,,,,,
2333,,,,,,t,,t,t,,,
2334,,t,,t,,,(,,,t,t,t
2335,t,,,,,,,,,,,
2336,,,,,t,,,,,,,
2357,,,,,,,t,,,,,
2364,,,,,),,,,,,,
2370,,,),,,,,,,,,
2374,,,,,,),,,,,,)
2376,),,,,,,,,,),,
2377,,),,),,,,),,,),
2380,,,,,,,,,),,,
2383,,,,,,,),,,,,
2527,,,,,,,(,,,,,
2532,,,,,,,,(,(,,(,
2533,,,,,,,,,,(,,
2534,,(,,,,,,,,,,(
2535,,,(,,,,,,,,,
2536,,,,(,(,,,,,,,
2537,,,,,,(,,,,,,
