,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
630,(,,,,,,,,,,,
631,,,,,,,,(,,,,
632,,(,,,,,,,,(,,
633,,,,,,,(,,,,(,
634,,,,,(,,,,,,,(
635,,,,,,,,,(,,,
639,,,,(,,(,,,,,,
643,,,(,,,,,,,,,
648,,,,,,,N,,,,,
649,,,,,,,,N,,,,
653,,,,,,,,,N,,,
655,,,,,,,,,,N,,
656,,,,,,,,,,,N,
657,,,,,,N,,,,,,
658,N,N,,,,,,,,,,N
659,,,,,N,,,,,,,
667,,,N,,,,,,,,,
678,,,,N,,,,,,,,
681,,),),,,),,,,,,
683,),,,,),,,,,,,
684,,,,,,,),,,,),
686,,,,,,,,,,,,)
687,,,,),,,,),),,,
690,,,,,,,,,,),,
715,,,,,,,,,,(,,
719,,,,,,,,,(,,,
725,,,,,,,,(,,,,
727,,,,,,,(,,,,,
738,,,,,(,,,,,,,
739,,,,,,,,,,,(,
755,,,(,,,,,,,,,
757,,(,,,,,,,,,,
758,,,,(,,(,,,,,,
763,(,,,,,,,,,,,
764,,,,,,,,,,,,(
767,,,,,t,,,,,,,
775,,,,,,,t,,,,,
777,,,,,,,,t,,,,
778,,,,,,,,,t,,,
783,,,,,,,,,,t,,
791,,,t,,,,,,,,,
792,,,,,,t,,,,,,
796,,t,,,,,,,,,,
798,,,,,,,,,,,t,
799,,,,t,),,,,,,,
801,t,,,,,,,,,,,
802,,,,,,,,,,,,t
813,,,,,,,),,,,,
822,,,,,,,,),,,,
829,,,),),,,,,,,,
830,,,,,,),,,,,,
831,,),,,,,,,),,),
832,,,,,,,,,,,,)
834,,,,,,,,,,),,
851,),,,,,,,,,,,
942,,,,(,,,,,,,,
945,,(,,,,,,,,,,
949,,,,,,(,,,,,,
952,,,,,,,,,,(,,
953,,,(,,,,,,(,,,
957,,,,,,,,,,,(,(
962,,,,,,,,(,,,,
971,,p,p,,,p,(,,,,,
973,,,,p,,,,,p,p,,
978,,,,,(,,,,,,,
983,(,,,,,,,,,,,
986,,,,,,,,p,,,p,p
994,,,,,,,p,,,),,
998,,,,),,,,,,,,
1000,,,,,,,,,),,,
1005,,),,,,,,,,,,
1006,,,,,,),,,,,,
1007,,,),,,,,,,,,
1008,,,,,,,,,,,),
1010,,,,,p,,,,,,,
1011,p,,,,,,,),,,,
1020,,,,,,,),,,,,
1022,,,,,),,,,,,,
1024,),,,,,,,,,,,
1031,,,,,,,,,,,,)
1034,,,,,,,,,,(,,
1036,,,,,,,(,(,(,,,
1037,,,,,,(,,,,,,
1038,(,(,,,(,,,,,,(,
1040,,,,,,,,,,,,(
1042,,,,(,,,,,,,,
1043,,,(,,,,,,,,,
1050,,,,,,,N,,,,,
1051,,,,,,,,N,,,,
1054,,,,,,,,,N,,,
1058,,N,N,,,N,,,,N,N,
1060,,,,,,,,,,,,N
1061,N,,,,,,,,,,,
1062,,,,,N,,,,,,,
1078,,,,N,,,,,,,,
1080,,),,,,,,,,,,
1081,,,,,,,,,,,,)
1083,,,),,,,,,,,,
1084,,,,,,),,,,,,
1087,,,,,,,,),,),),
1089,,,,),,,),,),,,
1096,,,,,),,,,,,,
1097,),,,,,,,,,,,
1114,,,,,,,,,(,,,
1115,,,,,,,,,,(,,
1117,,,,,,,,(,,,,
1120,,,,,,,(,,,,,
1122,,,,,,,,,,,(,
1153,,(,,,,,,,,,,
1156,,,(,,,,,,,,,
1158,,,,,,(,,,,,,
1160,,,,,(,,,,,,,
1169,,,,,,,,,,,,(
1170,,,,(,,,,,,,,
1171,(,,,,,,,,,,,
1177,,,,,,,t,,,,,
1179,,,,,,,,t,,,,
1180,,,,,t,,,,t,,,
1186,,,t,,,,,,,,,
1194,,,,,,,,,,t,,
1195,,,,,,t,,,,,,
1198,,,,,,,,,,,t,
1199,,t,,,,,,,,,,
1200,t,,,t,,,,,,,,
1201,,,,,),,,,,,,
1209,,,,,,,,,,,,t
1221,,,,,,,),,,,,
1224,,,),,,,,,,,,
1227,,,,,,),,,,,,
1228,,,,,,,,),,,,
1231,,,,,,,,,),,,
1232,),,,),,,,,,,,
1236,,,,,,,,,,),,
1242,,),,,,,,,,,,
1246,,,,,,,,,,,),
1248,,,,,,,,,,,,)
1349,,,(,,,,,,,,,
1352,,,,,,(,,,,,,
1357,,(,,,,,,,,,,
1363,,,,(,,,,,,,,
1364,,,,,,,,,(,(,(,
1366,,,,,,,,(,,,,
1367,,,,,,,,,,,,(
1375,,,,,,p,,,,,,
1380,,,p,,,,,,,,p,
1381,,,,,,,,,p,,,
1385,,,,,,,(,,,,,
1387,,,,,,,,p,,,,
1394,(,,,,,,,,,,,
1395,,,,,,,,,,p,,
1396,,,,p,,,,,,,,
1398,,p,,,,,,,,,,
1403,,,,,(,,,,,,,
1405,,,,,,,p,),),,,
1407,,,,,,,,,,),,
1408,,,,,,),,,,,),
1410,,),),,,,,,,,,
1416,,,,,p,,,,,,,
1421,p,,,,,,,,,,,
1422,,,,,,,,,,,,p
1434,,,,,,,),,,,,
1435,,,,,,,,,,,,)
1437,,,,),,,,,,,,
1438,),,,,,,,,,,,
1440,,,,,),,,,,,,
1442,,,,,,,,(,,,,
1444,,,,,,,,,(,(,,
1445,,,,,,,,,,,(,
1446,,(,,,,(,(,,,,,
1448,,,,,(,,,,,,,
1450,,,,,,,,,,,,(
1451,(,,,,,,,,,,,
1455,,,,(,,,,,,,,
1456,,,(,,,,,,,,,
1459,,,,,,,N,,,,,
1460,,,,,,,,,N,,,
