,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
515,,,,,,,(,,,,,
516,,,,,,,,,,(,,
517,,(,,,,,,(,(,,,
518,,,(,,,(,,,,,,
519,(,,,,,,,,,,(,(
520,,,,,(,,,,,,,
522,,,,(,,,,,,,,
523,,,,,,,N,,,,,
532,,,,,,,,N,,,,
533,,,,,N,,,,N,,,
534,N,,,,,,,,,,,
535,,N,,,,,,,,N,N,
536,,,N,,,N,,,,,,N
547,,,,N,,,,,,,,
549,,,,,),,,,,,,
553,,,,,,,,,,,),
554,),,,,,,,,,,,
556,,,,),,,,,,,,
558,,,,,,,,,),,,)
559,,),,,,,),,,,,
560,,,),,,),,,,),,
562,,,,,,,,),,,,
594,,,(,,,,,,,,,
598,,,,,(,,,,,,,
600,,,,,,,(,,,,,
614,,,,,,,,,,(,,
615,,,,,,,,,,,,(
616,,,,,,,,,(,,,
617,(,,,,,,,,,,,
619,,(,,(,,,,,,,(,
628,,,,,,(,,,,,,
632,,,,,,,,(,,,,
650,,,,,,t,,,,,,
653,,t,,t,,,,,,,,
654,t,,,,t,,,,,,,
655,,,t,,,,t,,,,,
656,,,,,,,,,,,,t
657,,,,,,,,,,,t,
658,,,,,,,,,,t,,
667,,,,,,,,,t,,,
671,,,,,,,,t,,,,
676,,,),,,,,,,,,
681,,,,,,,),,,,,
689,,,,),,,,,,,,
691,,,,,),,,,,,,
695,,,,,,,,),,,,
696,),),,,,),,,),,,
697,,,,,,,,,,,),)
699,,,,,,,,,,),,
840,,,(,,,,,,,,,
843,,,,,,,(,,,,,
844,,,,(,(,,,,(,,,
845,(,(,,,,,,(,,,(,
848,,,,,,(,,,,(,,
851,,,,,,,,,,,,(
863,,,,,,,,p,,,,
864,,,,,,,p,,p,,,
865,,,,,,p,,,,p,,
866,,p,,p,,,,,,,p,
867,p,,,,,,,,,,,p
872,,,p,,p,,,,,,,
874,,,,,,,),,),,,
875,,,,,,),,,,,,
878,,,,,,,,),,,,
883,,,),,,,,,,,,
884,,,,,),,,,,,,
885,),,,,,,,,,,,
886,,),,,,,,,,,,
888,,,,,,,,,,,),)
889,,,,,,,,,,),,
893,,,,),,,,,,,,
905,,,,,,,(,,,,,
907,,,,,,,,(,(,,,
910,,(,,,,,,,,,(,
911,(,,,,,(,,,,,,
912,,,,,,,,,,(,,(
913,,,,,(,,,,,,,
916,,,,(,,,,,,,,
918,,,(,,,,N,,,,,
924,,,,,,,,N,,,,
925,,,,,,,,,N,,,
926,,,,,N,,,,,,,
927,N,,,,,,,,,,,
928,,N,,,,,,,,N,N,N
929,,,N,,,N,,,,,,
939,,,,,),,,,,,,
940,,,,N,,,,,,,,
944,),,,,,,,,,,,
945,,,,,,,,,,,,)
947,,,),,,,,,,,,
948,,,,),,,,,,,,
949,,),,,,),,,,,,
950,,,,,,,,),),,),
951,,,,,,,),,,,,
953,,,,,,,,,,),,
991,,,,,(,,,,,,,
996,,,(,,,,,,,,,
998,,,,,,,(,,,,,
999,(,,,,,,,,,,,
1001,,,,,,,,,,,(,
1004,,,,,,,,,,,,(
1007,,(,,,,,,,(,,,
1009,,,,,,,,,,(,,
1014,,,,(,,,,,,,,
1016,,,,,,,,(,,,,
1018,,,,,,(,,,,,,
1043,,,t,,,,,,,,,
1045,,,,,,,t,,,,,
1046,,,,,t,,,,,,,
1047,t,,,,,,,,,,,
1048,,,,t,,,,,,,,t
1049,,t,,,,,,,,,t,
