,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
348,,,,(,,,,,,(,,
351,,,,,,,,(,,,(,
352,(,,,,,,(,,,,,
354,,,,,(,,,,,,,
355,,(,,,,,,,,,,(
356,,,(,,,,,,,,,
357,,,,,,(,,,(,,,
365,,,,,,,N,N,N,,,
366,,,,,N,,,,,,,
367,,,,,,,,,,N,,
368,N,,,,,,,,,,,
370,,,,,,,,,,,N,
375,,,,,,,,,,,,N
376,,N,,,,,,,,,,
377,,,,,,N,,,,,,
379,,,N,,,,,,,,,
392,,,,,,,,,,,,)
394,,,,,,,,,,),,
397,,,,,,,,,),,,
398,,,,,,,),),,,,
399,,,,,,,,,,,),
401,,,,,),,,,,,,
404,,,,N,,,,,,,,
407,),,,,,,,,,,,
414,,),,,,,,,,,,
415,,,,),,,,,,,,
417,,,,,,),,,,,,
418,,,,,,,,,,,(,
419,,,),,,,,,,,,
423,,,,,,,,(,(,,,
426,,,,,,,,,,(,,
428,,,,,,,,,,,,(
429,,,,,(,,,,,,,
432,(,,,,,,,,,,,
438,,,,(,,,,,,,,
441,,(,,,,,,,,,,
449,,,,,,(,,,,,,
454,,,(,,,,,t,,,,
457,,,,,t,,,,,,,
461,t,,,,,,,,t,,,
463,,,,,,,,,,t,t,
468,,,,t,,,,,,,,t
469,,t,,,,,,,,,,
470,,,t,,,t,,,,,,
480,,,,,,,(,,,,,
494,,,,,,,,),,,,
499,,,,,,,,,,,,)
500,),,,,,,,,),,,
501,,),,,,),,,,),),
502,,,,),,,,,,,,
503,,,),,,,,,,,,
518,,,,,,,t,,,,,
522,,,,,),,,,,,,
542,,,,,,,),,,,,
554,(,,,,,,,,(,,,
555,,,,,,,,(,,,,
556,,,,,(,,,,,,,
560,,,,,,,,,,(,,
562,,,,,,,,,,,(,
563,,,,(,,(,,,,,,
564,,,(,,,,,,,,,
565,,,,,,,,,,,,(
566,,(,,,,,(,,,,,
574,,,,,,,,N,,,,
575,,,,,N,,N,,N,,,
577,,,,,,,,,,N,,
579,N,,,,,,,,,,,
581,,,,,,,,,,,N,
585,,,,,,,,,,,,N
586,,N,N,,,N,,,,,,
602,,,,,,,,,,,,)
604,,,,,,,,,,,),
605,,,,,,,,,),,,
607,,,,N,,,,,,,,
608,,,,,,,,,,),,
610,,,,,),,),,,,,
612,),,,,,,,,,,,
618,,,,,,,,),,,,
622,,,,,,),,,,,,
623,,),,,,,,,,,,
624,,,),),,,,,,,,
630,,,,,,,,,(,,,
637,,,,,(,,,(,,(,,
639,(,,,,,,,,,,,
640,,,,,,,,,,,(,
642,,,,,,,,,,,,(
644,,(,,,,,,,,,,
649,,,,(,,,,,,,,
660,,,,,,(,,,,,,
667,,,,,,,,t,,,,
668,,,,,t,,,,,,,
670,,,,,,,,,t,,,
672,,,,,,,,,,t,,
673,,,(,,,,,,,,,
678,,,,,,,,,,,t,
679,,,,,,t,,,,,,
681,t,,,,,,,,,,,t
682,,t,,t,,,,,,,,
689,,,,,,,(,,,,,
695,,,t,,,,,,,,,
705,,,,,,,,),,,,
710,),),,),,),,,,,,)
711,,,),,,,,,,,),
712,,,,,,,,,),,,
713,,,,,,,,,,),,
728,,,,,,,t,,,,,
733,,,,,),,,,,,,
749,,,,,,,),,,,,
762,,,,,,,,,(,,,
764,,,,,,,,(,,,,
765,,,,(,,,,,,,,
768,,,,,,,,,,(,,
769,,(,,,,,,,,,,
771,(,,,,,,,,,,,
772,,,,,(,,,,,,(,
774,,,(,,,(,,,,,,(
778,,,,,,,(,,,,,
783,,,,,,,N,,,,,
784,,,,,N,,,N,,,,
785,,,,,,,,,N,,,
787,,,,,,,,,,N,,
790,N,,,,,,,,,,N,
794,,,,,,,,,,,,N
796,,N,,,,N,,,,,,
799,,,N,,,,,,,,,
813,,,,,,,,,,,,)
814,,,,,,,,,,),,
816,,,,N,,,,,,,,
817,,,,,,,),,,,,
819,,,,,,,,,),,,
820,),,,,),,,,,,,
826,,,,,,,,),,,,
829,,,,,,,,,,,),
831,,),,,,,,,,,,
833,,,,),,,,,,,,
834,,,),,,,,,,,,
837,,,,,,),,,,,,
842,,,,,,,,,(,,,
843,,,,,(,,,,,(,,
845,,,,,,,,,,,,(
847,,,,,,,,(,,,,
848,,,,,,,,,,,(,
